127.0.0.1 - - [19/Nov/2023:11:31:21 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:24 +0300] "GET /shopping-cart/ HTTP/1.1" 200 15491
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:25 +0300] "GET /shopping-cart/css/changes.css HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:25 +0300] "GET /shopping-cart/ShowImage?pid=P20230010 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:25 +0300] "GET /shopping-cart/ShowImage?pid=P2023001 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:25 +0300] "GET /shopping-cart/ShowImage?pid=P20230011 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:25 +0300] "GET /shopping-cart/ShowImage?pid=P20230012 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:25 +0300] "GET /shopping-cart/ShowImage?pid=P2023002 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:26 +0300] "GET /shopping-cart/ShowImage?pid=P2023003 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:26 +0300] "GET /shopping-cart/ShowImage?pid=P2023004 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:26 +0300] "GET /shopping-cart/ShowImage?pid=P2023005 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:26 +0300] "GET /shopping-cart/ShowImage?pid=P2023006 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:26 +0300] "GET /shopping-cart/ShowImage?pid=P2023007 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [19/Nov/2023:11:31:26 +0300] "GET /shopping-cart/ShowImage?pid=P2023008 HTTP/1.1" 200 69
